Name,Disc. Date,mmax,Mmax,Host Name,R.A.,Dec.,z,Type,Phot.,Spec.
SN2007gr,2007/08/15,11.62,-18,NGC 1058,"02:43:27.98,02:43:27.979","+37:20:44.7,+37:20:44.70","0.0017,0.0017",Ic,768,45
SN2017ein,2017/05/25,14.42,-15.967,NGC 3938,"11:52:53.250,11:52:53.28","+44:07:26.20,+44:07:26.04",0.002699,Ic,447,1
SN2013ge,2013/11/08,14.25,-17.178,NGC 3287,10:34:48.46,+21:39:41.9,0.004356,Ic,381,40
SN1994I,1994/04/02,12.48,-16.4,NGC 5194,"13:29:54.072,13:29:54.010,13:29:54.01,13:29:54.07","+47:11:30.50,+47:11:31.70,+47:11:31.7,+47:11:30.5","0.00156,0.00188",Ic,365,43
SN2011bm,2011/04/04,15.95,-19,IC 3918,"12:56:53.89,12:56:53.88,12:56:53.94","+22:22:28.2,+22:22:28.1",0.022,Ic,309,17
SN2014L,2014/01/26,13.08,-19.678,NGC 4254,"12:18:48.68,12:18:48.72","+14:24:43.5,+14:24:43.4",0.008029,Ic,306,20
SN2004aw,2004/03/19,15.8,-18.5,NGC 3997,"11:57:50.24,11:57:50.239","+25:15:55.1,+25:15:55.12",0.016,Ic,259,40
SN2004gt,2004/12/12,13.8,-17.2,NGC 4038,"12:01:50.37,12:01:50.371","-18:52:12.7,-18:52:12.68",0.005477,Ic,244,16
SN2005mf,2005/12/25,16.8,-18.582,UGC 4798,"09:08:42.33,09:08:42.24,09:08:42.329,09:08:42.97","+44:48:51.4,+44:48:51.48,+44:48:51.41,+44:48:46.0","0.02675,0.027",Ic,216,6
SN2005kl,2005/11/22,12.9,-18.7,NGC 4369,"12:24:35.68,12:24:35.681","+39:23:03.5,+39:23:03.52",0.003486,Ic,202,8
SN1990B,1990/01/20,14.5,-17.4,NGC 4568,"12:36:33.86,12:36:33.84,12:36:33.83,12:36:33.869,12:36:33.87","+11:14:29.9,+11:14:29.76,+11:14:29.83,+11:14:30.08,+11:14:30.1,+11:14:29.8","0.00744,0.0075",Ic,180,22
